station_id,station_name,state,start_date,end_date,latitude,longitude,in_basins,break_with_basins,network,start_date_to_use,end_date_to_use
72483993225,SACRAMENTO INTL AIRPORT,CA,1990-01-01 00:00:00,2020-10-15 00:00:00,+38.696,-121.590,False,False,isd,2005-01-01 00:00:00,2019-12-31 23:00:00
72484653123,NORTH LAS VEGAS AIRPORT,NV,2006-01-01 00:00:00,2020-10-15 00:00:00,+36.212,-115.196,False,False,isd,2006-01-01 00:00:00,2019-12-31 23:00:00
72485523153,TONOPAH AIRPORT,NV,1990-01-01 00:00:00,2020-10-15 00:00:00,+38.051,-117.090,True,False,isd,2007-01-01 00:00:00,2019-12-31 23:00:00
72486023154,ELY AIRPORT/YELLAND FIELD/AIR,NV,1990-01-01 00:00:00,2020-10-15 00:00:00,+39.295,-114.847,True,False,isd,2007-01-01 00:00:00,2019-12-31 23:00:00
72488023185,RENO/TAHOE INTERNATIONAL AIRP,NV,1990-01-01 00:00:00,2020-10-15 00:00:00,+39.484,-119.771,True,False,isd,2007-01-01 00:00:00,2019-12-31 23:00:00
72488593102,FALLON NAS,NV,1990-01-01 00:00:00,2020-10-15 00:00:00,+39.417,-118.717,False,False,isd,2005-01-04 14:00:00,2019-12-31 23:00:00
72491523259,MONTEREY PENINSULA AIRPORT,CA,2006-01-01 00:00:00,2020-10-15 00:00:00,+36.588,-121.845,False,False,isd,2006-01-01 00:00:00,2019-12-31 23:00:00
72491723233,SALINAS MUNI,CA,1990-01-01 00:00:00,2010-08-01 00:00:00,+36.664,-121.608,False,False,isd,2001-04-01 08:00:00,2010-07-31 23:00:00
72492023237,STOCKTON METROPOLITAN AIRPORT,CA,1990-01-01 00:00:00,2020-10-15 00:00:00,+37.889,-121.226,True,False,isd,2007-01-01 00:00:00,2019-12-31 23:00:00
72492623258,MDSTO CTY-CO H SHAM FD APT,CA,1990-01-01 00:00:00,2020-10-15 00:00:00,+37.624,-120.951,True,False,isd,2007-01-01 00:00:00,2019-12-31 23:00:00
72492723285,LIVERMORE MUNICIPAL ARPT,CA,2000-01-01 00:00:00,2020-10-15 00:00:00,+37.693,-121.814,True,False,isd,2007-01-01 00:00:00,2019-12-31 23:00:00
72493023230,METRO OAKLAND INTL AIRPORT,CA,1990-01-01 00:00:00,2020-10-15 00:00:00,+37.721,-122.221,False,False,isd,2005-01-01 01:00:00,2019-12-31 23:00:00
72493593228,HAYWARD AIR TERM,CA,2000-01-01 00:00:00,2010-07-31 00:00:00,+37.654,-122.115,True,False,isd,2007-01-01 00:00:00,2010-07-31 23:00:00
72493623254,CONCORD/BUCHANAN,CA,1990-01-01 00:00:00,2010-07-31 00:00:00,+37.992,-122.055,True,False,isd,2007-01-01 00:00:00,2010-07-31 23:00:00
